"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"SBIN","01-Feb-2017","30-Mar-2017","CE","300","4.25","4.45","4.25","4.45","4.45","4.45","7","63.9",".9","42000","15000","270.7"
"SBIN","02-Feb-2017","30-Mar-2017","CE","300","5.6","5.6","5.6","5.6","5.6","5.6","1","9.17",".17","45000","3000","273.3"
"SBIN","03-Feb-2017","30-Mar-2017","CE","300","5.4","6.4","5.4","5.55","5.55","5.55","3","27.52",".52","45000","0","277.55"
"SBIN","06-Feb-2017","30-Mar-2017","CE","300","7.8","8.05","6.5","6.5","6.5","6.5","19","175.31","4.31","93000","48000","277.05"
"SBIN","07-Feb-2017","30-Mar-2017","CE","300","6.05","6.7","6.05","6.4","6.4","6.4","16","147.09","3.09","120000","27000","277.9"
"SBIN","08-Feb-2017","30-Mar-2017","CE","300","6.3","6.35","5","6.2","6.35","6.2","29","265.95","4.95","153000","33000","277.2"
"SBIN","09-Feb-2017","30-Mar-2017","CE","300","6.45","6.45","4.3","5.25","5.25","5.25","59","539.84","8.84","177000","24000","275.85"
"SBIN","10-Feb-2017","30-Mar-2017","CE","300","6.35","6.35","4.1","4.45","4.2","4.45","139","1273.74","22.74","285000","108000","276.35"
"SBIN","13-Feb-2017","30-Mar-2017","CE","300","4.35","4.35","2.75","2.9","2.8","2.9","122","1109.49","11.49","435000","150000","271.65"
"SBIN","14-Feb-2017","30-Mar-2017","CE","300","2.75","2.85","2.2","2.5","2.35","2.5","60","544.54","4.54","468000","33000","270.2"
"SBIN","15-Feb-2017","30-Mar-2017","CE","300","2.45","2.75","2","2.15","2.05","2.15","95","861.64","6.64","606000","138000","268.95"
"SBIN","16-Feb-2017","30-Mar-2017","CE","300","2.75","3.6","2.5","2.7","2.6","2.7","265","2407.34","22.34","933000","327000","270.5"
"SBIN","17-Feb-2017","30-Mar-2017","CE","300","2.95","3","2.2","2.35","2.3","2.35","161","1461.02","12.02","1101000","168000","269.35"
"SBIN","20-Feb-2017","30-Mar-2017","CE","300","2.3","2.6","2.05","2.2","2.15","2.2","159","1441.63","10.63","1317000","216000","269.65"
"SBIN","21-Feb-2017","30-Mar-2017","CE","300","2.15","2.3","2","2.2","2.25","2.2","180","1631.56","11.56","1524000","207000","270.7"
"SBIN","22-Feb-2017","30-Mar-2017","CE","300","2.2","3.3","2.1","2.45","2.35","2.45","486","4414.23","40.23","1809000","285000","272.3"
"SBIN","23-Feb-2017","30-Mar-2017","CE","300","5","5","2","2.1","2.15","2.1","354","3210.25","24.25","2283000","474000","270.45"
"SBIN","27-Feb-2017","30-Mar-2017","CE","300","2.05","2.15","1.3","1.4","1.4","1.4","800","7237.82","37.82","2964000","681000","268.25"
"SBIN","28-Feb-2017","30-Mar-2017","CE","300","1.35","1.7","1.3","1.35","1.35","1.35","651","5886.49","27.49","3171000","207000","269.2"
"SBIN","01-Mar-2017","30-Mar-2017","CE","300","1.55","1.8","1.3","1.45","1.45","1.45","1063","9616.81","49.81","3324000","153000","271.75"
